store_name,address,city,zipcode,store_type,latitude,longitude
Taco Bell #41594,6104 University Ave,San Diego,92115,Restaurant Meals Program,3862596.58217278,-13031542.7188506
7-eleven Store 24070c 24070C,1482 Hilltop Dr,Chula Vista,91911,Convenience Store,3842384.39373451,-13030171.2627241
University Halal Market,6172 University Ave,San Diego,92115,Grocery Store,3862620.93722968,-13031359.0416908
CVS Pharmacy 10919,9665 Campo Rd,Spring Valley,91977,Other,3861899.30764491,-13023037.909754
Tierra Santa Arco,10821 Tierrasanta Blvd,San Diego,92124,Convenience Store,3871642.91873133,-13035315.3363936
Big Liquor,617 N Redondo Dr,Oceanside,92057,Convenience Store,3929186.48991624,-13057840.8353557
Granada Liquor,930 Broadway,El Cajon,92021,Convenience Store,3869816.35426303,-13018737.6378247
El Super 29,151 W Lincoln Ave,Escondido,92026,Supermarket,3913027.0554245,-13034132.0102065
Asianside Variety Store,465 Vandegrift Blvd,Oceanside,92057,Convenience Store,3929064.6865006,-13057771.8172714
Bubbles By The Beach,218 N Cleveland St,Oceanside,92054,Convenience Store,3921312.49223716,-13066843.2425761
Aldi 79059,8788 Navajo Rd,San Diego,92119,Supermarket,3869185.26861269,-13025259.8467903
Ucsd-hdh Roger's Market 0351,9249 S Scholars Dr,La Jolla,92093,Convenience Store,3878429.25510559,-13051474.4736772
Attisha Fuel Inc N/A,121 E San Ysidro Blvd,San Ysidro,92173,Convenience Store,3836013.22267862,-13029201.6699593
Moms And Kids Nutrition 2,1031 S Santa Fe Ave,Vista,92083,Grocery Store,3920739.68272433,-13049933.8119246
7-eleven Store 29540c 29540C,7 Naples St,Chula Vista,91911,Convenience Store,3844576.37019365,-13030771.2747795
Korner Market,482 E Pennsylvania Ave,Escondido,92025,Convenience Store,3912125.39441852,-13032995.4382055
Rocket #0050 0050,3927 El Cajon Blvd,San Diego,92105,Convenience Store,3862842.5176129,-13036614.4348512
7-eleven Store 13583E,2425 Sweetwater Rd,National City,91950,Convenience Store,3850267.59932247,-13032532.3491238
Suncity Smokes & Market,635 C St,San Diego,92101,Convenience Store,3857735.71088622,-13042040.1468325
7 Eleven Store 27664C,2483 Broadway,San Diego,92102,Convenience Store,3857638.72822714,-13040064.2258709
Party Time Liquor 3,1350 6th Ave,San Diego,92101,Convenience Store,3858114.78445088,-13042115.8440862
7-eleven Store 18710d 18710D,430 Spruce St,San Diego,92103,Convenience Store,3860675.07380517,-13042262.785814
Lemon Grove Mobil,8170 Broadway,Lemon Grove,91945,Convenience Store,3861393.98145214,-13026759.3203313
3 Brothers Liquor,1031 Broadway,El Cajon,92021,Convenience Store,3869749.6019458,-13018440.4147843
Fanita Liquor & Market,8663 Fanita Dr,Santee,92071,Convenience Store,3873143.8543078,-13024457.2332617
7-Eleven 19987H,3603 College Ave,San Diego,92115,Convenience Store,3861667.15667336,-13030941.5936004
Target Store T3319,935 Sweetwater Rd,Spring Valley,91977,Super Store,3857353.60647157,-13025608.2767965
