Serial_Num,Season,Num,Basin,Sub_basin,Name,ISO_time,Nature,Latitude,Longitude,Wind(WMO),Pres(WMO),Center,Wind(WMO) Percentile,Pres(WMO) Percentile,Track_type
2016005N02187,2016,01, EP, CP,PALI,2016-01-09 00:00:00, TS,  7.60,-172.80, 55.0,  996.0,atcf,  64.412,  62.059,main
2016005N02187,2016,01, EP, CP,PALI,2016-01-09 06:00:00, TS,  7.70,-173.20, 50.0,  997.0,atcf,  58.682,  59.766,main
2016005N02187,2016,01, EP, CP,PALI,2016-01-09 12:00:00, TS,  7.70,-173.70, 45.0,  998.0,atcf,  50.436,  57.789,main
2016005N02187,2016,01, EP, CP,PALI,2016-01-09 18:00:00, TS,  7.70,-174.10, 40.0,  999.0,atcf,  42.727,  56.052,main
2016005N02187,2016,01, EP, CP,PALI,2016-01-10 00:00:00, TS,  7.70,-174.40, 35.0, 1000.0,atcf,  32.623,  51.359,main
2016005N02187,2016,01, EP, CP,PALI,2016-01-10 06:00:00, TS,  7.70,-174.40, 35.0, 1000.0,atcf,  32.623,  51.359,main
2016005N02187,2016,01, EP, CP,PALI,2016-01-10 12:00:00, TS,  7.60,-174.30, 35.0, 1000.0,atcf,  32.623,  51.359,main
2016005N02187,2016,01, EP, CP,PALI,2016-01-10 18:00:00, TS,  7.80,-174.00, 45.0,  996.0,atcf,  50.436,  62.059,main
2016005N02187,2016,01, EP, CP,PALI,2016-01-11 00:00:00, TS,  7.90,-173.60, 50.0,  993.0,atcf,  58.682,  67.996,main
2016005N02187,2016,01, EP, CP,PALI,2016-01-11 06:00:00, TS,  8.00,-173.20, 55.0,  990.0,atcf,  64.412,  71.294,main
2016005N02187,2016,01, EP, CP,PALI,2016-01-11 12:00:00, TS,  8.30,-172.80, 55.0,  990.0,atcf,  64.412,  71.294,main
2016005N02187,2016,01, EP, CP,PALI,2016-01-11 18:00:00, TS,  8.30,-172.60, 65.0,  986.0,atcf,  74.042,  77.087,main
2016005N02187,2016,01, EP, CP,PALI,2016-01-12 00:00:00, TS,  8.30,-172.00, 75.0,  982.0,atcf,  82.043,  80.705,main
2016005N02187,2016,01, EP, CP,PALI,2016-01-12 06:00:00, TS,  7.80,-171.70, 75.0,  982.0,atcf,  82.043,  80.705,main
2016005N02187,2016,01, EP, CP,PALI,2016-01-12 12:00:00, TS,  7.10,-171.40, 80.0,  979.0,atcf,  85.150,  83.380,main
2016005N02187,2016,01, EP, CP,PALI,2016-01-12 18:00:00, TS,  6.50,-171.20, 85.0,  977.0,atcf,  87.386,  84.828,main
2016005N02187,2016,01, EP, CP,PALI,2016-01-13 00:00:00, TS,  5.70,-171.00, 85.0,  977.0,atcf,  87.386,  84.828,main
2016005N02187,2016,01, EP, CP,PALI,2016-01-13 06:00:00, TS,  5.10,-171.10, 80.0,  979.0,atcf,  85.150,  83.380,main
2016005N02187,2016,01, EP, CP,PALI,2016-01-13 12:00:00, TS,  4.10,-171.40, 70.0,  984.0,atcf,  78.944,  78.971,main
2016005N02187,2016,01, EP, CP,PALI,2016-01-13 18:00:00, TS,  3.60,-171.60, 60.0,  990.0,atcf,  69.835,  71.294,main
2016005N02187,2016,01, EP, CP,PALI,2016-01-14 00:00:00, TS,  3.20,-171.90, 50.0,  996.0,atcf,  58.682,  62.059,main
2016005N02187,2016,01, EP, CP,PALI,2016-01-14 06:00:00, TS,  2.80,-172.20, 40.0, 1000.0,atcf,  42.727,  51.359,main
2016005N02187,2016,01, EP, CP,PALI,2016-01-14 12:00:00, TS,  2.50,-172.50, 30.0, 1003.0,atcf,  17.645,  42.121,main
2016005N02187,2016,01, EP, CP,PALI,2016-01-14 18:00:00, TS,  2.10,-172.80, 30.0, 1003.0,atcf,  17.645,  42.121,main
